Sku|OfferTermCode|Platform|Tenancy|Operation|UsageType|Region|Service|InstanceType|OperatingSystem|AdjustedPricePerUnit|OnDemandHourlyCost|BreakevenPercentage|UpfrontFee|LeaseTerm|PurchaseOption|OfferingClass|TermType|Key|ReservedInstanceCost|OnDemandCostForTerm|CostSavings|PercentSavings|vCPU|Memory
HBRQZSXXSY2DXJ77|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m3.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m3.2xlarge|ElastiCache Memcached|0.336|0.965|0.578626351527196|1948|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|4891.36|8453.4|3562.04|42.137|8|27.9
HBRQZSXXSY2DXJ77|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m3.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m3.2xlarge|ElastiCache Memcached|0.259|0.965|0.386689379421298|3000|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|9806.52|25360.2|15553.68|61.331|8|27.9
WXKW7QBYRQUKBB5V|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|NodeUsage:cache.r3.xlarge|us-east-1|AmazonElastiCache|cache.r3.xlarge|ElastiCache Redis|0.091|0.455|0.372780035793734|2066|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|4457.48|11957.4|7499.92|62.722|4|28.4
WXKW7QBYRQUKBB5V|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|NodeUsage:cache.r3.xlarge|us-east-1|AmazonElastiCache|cache.r3.xlarge|ElastiCache Redis|0.123|0.455|0.541793366450901|1082|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|2159.48|3985.8|1826.32|45.821|4|28.4
YABJESQUEGAUDF78|DK9W8XRWES|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.775|1.32|0.646793275217933|690|1|LIGHT_UTILIZATION|STANDARD|RESERVED|1::LIGHT_UTILIZATION::STANDARD|7479|11563.2|4084.2|35.321|8|68
YABJESQUEGAUDF78|JRBFQ5DASS|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.543|1.32|0.551895669018957|1625|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|6381.68|11563.2|5181.52|44.81|8|68
YABJESQUEGAUDF78|KGRZ3REEDN|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.413|1.32|0.383995203173285|2467|3|MEDIUM_UTILIZATION|STANDARD|RESERVED|3::MEDIUM_UTILIZATION::STANDARD|13320.64|34689.6|21368.96|61.6|8|68
YABJESQUEGAUDF78|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.447|1.32|0.509609796596098|1977|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|5892.72|11563.2|5670.48|49.039|8|68
YABJESQUEGAUDF78|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.338|1.32|0.340264517319312|2921|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|11803.64|34689.6|22885.96|65.974|8|68
YABJESQUEGAUDF78|VHSX6N8RTZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APN1-NodeUsage:cache.m2.4xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.4xlarge|ElastiCache Redis|0.607|1.32|0.490145749734791|1051|3|LIGHT_UTILIZATION|STANDARD|RESERVED|3::LIGHT_UTILIZATION::STANDARD|17002.96|34689.6|17686.64|50.985|8|68
NDKE5VTSATWKXTBE|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|USW1-NodeUsage:cache.m3.2xlarge|us-west-1|AmazonElastiCache|cache.m3.2xlarge|ElastiCache Redis|0.266|0.795|0.463392780218833|2691|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|9681.48|20892.6|11211.12|53.661|8|27.9
NDKE5VTSATWKXTBE|YTVHEVGPBZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|USW1-NodeUsage:cache.m3.2xlarge|us-west-1|AmazonElastiCache|cache.m3.2xlarge|ElastiCache Redis|0.353|0.795|0.698469314494127|1772|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|4864.28|6964.2|2099.92|30.153|8|27.9
MRPXXDKFV4HS6PKX|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|USW1-NodeUsage:cache.r3.2xlarge|us-west-1|AmazonElastiCache|cache.r3.2xlarge|ElastiCache Memcached|0.319|1.014|0.628691470103483|2790|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|5584.44|8882.64|3298.2|37.131|8|58.2
MRPXXDKFV4HS6PKX|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|USW1-NodeUsage:cache.r3.2xlarge|us-west-1|AmazonElastiCache|cache.r3.2xlarge|ElastiCache Memcached|0.238|1.014|0.434729614919288|5330|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|11584.64|26647.92|15063.28|56.527|8|58.2
BZV2BAWWVD4VWJN3|VHSX6N8RTZ|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.066|0.146|0.48906403119201|142|3|LIGHT_UTILIZATION|STANDARD|RESERVED|3::LIGHT_UTILIZATION::STANDARD|1876.48|3836.88|1960.4|51.094|1|3.35
BZV2BAWWVD4VWJN3|VG8YD49WWM|ElastiCache Redis|Shared|CreateCacheCluster:0002|APS1-NodeUsage:cache.m1.medium|ap-southeast-1|AmazonElastiCache|cache.m1.medium|ElastiCache Redis|0.036|0.146|0.356821167198349|423|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|1369.08|3836.88|2467.8|64.318|1|3.35
